Time [s],Channel 0,Channel 1,SDA_O,SDA_T,SCL_O,SCL_T,ena,busy
-2.097052667,1,1,0,1,1,1,0,0
-2.097011000,1,1,0,1,0,1,0,0
-2.096969292,1,1,0,1,1,1,0,0
-2.096927625,1,1,0,1,0,1,0,0
-2.096885917,1,1,0,1,1,1,0,0
-2.096844250,1,1,0,1,0,1,0,0
-2.096802583,1,1,0,1,1,1,0,0
-2.096760875,1,1,0,1,0,1,0,0
-2.096719208,1,1,0,1,1,1,0,0
-2.096677542,1,1,0,1,0,1,0,0
-2.096635833,1,1,0,1,1,1,0,0
-2.096594167,1,1,0,1,0,1,0,0
-2.096552458,1,1,0,1,1,1,0,0
-2.096510792,1,1,0,1,0,1,0,0
-2.096469125,1,1,0,1,1,1,0,0
-2.096427417,1,1,0,1,0,1,0,0
-2.096385750,1,1,0,1,1,1,0,0
-2.096344042,1,1,0,1,0,1,0,0
-2.096302375,1,1,0,1,1,1,0,0
-2.096260708,1,1,0,1,0,1,0,0
-2.096219000,1,1,0,1,1,1,0,0
-2.096177333,1,1,0,1,0,1,0,0
-2.096135667,1,1,0,1,1,1,0,0
-2.096093958,1,1,0,1,0,1,0,0
-2.096052292,1,1,0,1,1,1,0,0
-2.096010583,1,1,0,1,0,1,0,0
-2.095968917,1,1,0,1,1,1,0,0
-2.095927250,1,1,0,1,0,1,0,0
-2.095885542,1,1,0,1,1,1,0,0
-2.095843875,1,1,0,1,0,1,0,0
-2.095802208,1,1,0,1,1,1,0,0
-2.095760500,1,1,0,1,0,1,0,0
-2.095718833,1,1,0,1,1,1,0,0
-2.095677125,1,1,0,1,0,1,0,0
-2.095635458,1,1,0,1,1,1,0,0
-2.095593792,1,1,0,1,0,1,0,0
-2.095552083,1,1,0,1,1,1,0,0
-2.095510417,1,1,0,1,0,1,0,0
-2.095468708,1,1,0,1,1,1,0,0
-2.095427042,1,1,0,1,0,1,0,0
-2.095385375,1,1,0,1,1,1,0,0
-2.095343667,1,1,0,1,0,1,0,0
-2.095302000,1,1,0,1,1,1,0,0
-2.095260333,1,1,0,1,0,1,0,0
-2.095218625,1,1,0,1,1,1,0,0
-2.095176958,1,1,0,1,0,1,0,0
-2.095135250,1,1,0,1,1,1,0,0
-2.095093583,1,1,0,1,0,1,0,0
-2.095051917,1,1,0,1,1,1,0,0
-2.095010208,1,1,0,1,0,1,0,0
-2.094968542,1,1,0,1,1,1,0,0
-2.094926833,1,1,0,1,0,1,0,0
-2.094885167,1,1,0,1,1,1,0,0
-2.094843500,1,1,0,1,0,1,0,0
-2.094801792,1,1,0,1,1,1,0,0
-2.094760125,1,1,0,1,0,1,0,0
-2.094718458,1,1,0,1,1,1,0,0
-2.094676750,1,1,0,1,0,1,0,0
-2.094635083,1,1,0,1,1,1,0,0
-2.094593375,1,1,0,1,0,1,0,0
-2.094551708,1,1,0,1,1,1,0,0
-2.094510042,1,1,0,1,0,1,0,0
-2.094468333,1,1,0,1,1,1,0,0
-2.094426667,1,1,0,1,0,1,0,0
-2.094385000,1,1,0,1,1,1,0,0
-2.094343292,1,1,0,1,0,1,0,0
-2.094301625,1,1,0,1,1,1,0,0
-2.094259917,1,1,0,1,0,1,0,0
-2.094218250,1,1,0,1,1,1,0,0
-2.094176583,1,1,0,1,0,1,0,0
-2.094134875,1,1,0,1,1,1,0,0
-2.094093208,1,1,0,1,0,1,0,0
-2.094051500,1,1,0,1,1,1,0,0
-2.094009833,1,1,0,1,0,1,0,0
-2.093968167,1,1,0,1,1,1,0,0
-2.093926458,1,1,0,1,0,1,0,0
-2.093884792,1,1,0,1,1,1,0,0
-2.093843125,1,1,0,1,0,1,0,0
-2.093801417,1,1,0,1,1,1,0,0
-2.093759750,1,1,0,1,0,1,0,0
-2.093718042,1,1,0,1,1,1,0,0
-2.093676375,1,1,0,1,0,1,0,0
-2.093634708,1,1,0,1,1,1,0,0
-2.093593000,1,1,0,1,0,1,0,0
-2.093551333,1,1,0,1,1,1,0,0
-2.093509625,1,1,0,1,0,1,0,0
-2.093467958,1,1,0,1,1,1,0,0
-2.093426292,1,1,0,1,0,1,0,0
-2.093384583,1,1,0,1,1,1,0,0
-2.093342917,1,1,0,1,0,1,0,0
-2.093301250,1,1,0,1,1,1,0,0
-2.093259542,1,1,0,1,0,1,0,0
-2.093217875,1,1,0,1,1,1,0,0
-2.093176167,1,1,0,1,0,1,0,0
-2.093134500,1,1,0,1,1,1,0,0
-2.093092833,1,1,0,1,0,1,0,0
-2.093051125,1,1,0,1,1,1,0,0
-2.093009458,1,1,0,1,0,1,0,0
-2.092967750,1,1,0,1,1,1,0,0
-2.092926083,1,1,0,1,0,1,0,0
-2.092884417,1,1,0,1,1,1,0,0
-2.092842708,1,1,0,1,0,1,0,0
-2.092801042,1,1,0,1,1,1,0,0
-2.092759375,1,1,0,1,0,1,0,0
-2.092717667,1,1,0,1,1,1,0,0
-2.092676000,1,1,0,1,0,1,0,0
-2.092634292,1,1,0,1,1,1,0,0
-2.092592625,1,1,0,1,0,1,0,0
-2.092550958,1,1,0,1,1,1,0,0
-2.092509250,1,1,0,1,0,1,0,0
-2.092467583,1,1,0,1,1,1,0,0
-2.092425917,1,1,0,1,0,1,0,0
-2.092384208,1,1,0,1,1,1,0,0
-2.092342542,1,1,0,1,0,1,0,0
-2.092300833,1,1,0,1,1,1,0,0
-2.092259167,1,1,0,1,0,1,0,0
-2.092217500,1,1,0,1,1,1,0,0
-2.092175792,1,1,0,1,0,1,0,0
-2.092134125,1,1,0,1,1,1,0,0
-2.092092417,1,1,0,1,0,1,0,0
-2.092050750,1,1,0,1,1,1,0,0
-2.092009083,1,1,0,1,0,1,0,0
-2.091967375,1,1,0,1,1,1,0,0
-2.091925708,1,1,0,1,0,1,0,0
-2.091884042,1,1,0,1,1,1,0,0
-2.091842333,1,1,0,1,0,1,0,0
-2.091800667,1,1,0,1,1,1,0,0
-2.091758958,1,1,0,1,0,1,0,0
-2.091717292,1,1,0,1,1,1,0,0
-2.091675625,1,1,0,1,0,1,0,0
-2.091633917,1,1,0,1,1,1,0,0
-2.091592250,1,1,0,1,0,1,0,0
-2.091550542,1,1,0,1,1,1,0,0
-2.091508875,1,1,0,1,0,1,0,0
-2.091467208,1,1,0,1,1,1,0,0
-2.091425500,1,1,0,1,0,1,0,0
-2.091383833,1,1,0,1,1,1,0,0
-2.091342167,1,1,0,1,0,1,0,0
-2.091300458,1,1,0,1,1,1,0,0
-2.091258792,1,1,0,1,0,1,0,0
-2.091217083,1,1,0,1,1,1,0,0
-2.091175417,1,1,0,1,0,1,0,0
-2.091133750,1,1,0,1,1,1,0,0
-2.091092042,1,1,0,1,0,1,0,0
-2.091050375,1,1,0,1,1,1,0,0
-2.091008667,1,1,0,1,0,1,0,0
-2.090967000,1,1,0,1,1,1,0,0
-2.090925333,1,1,0,1,0,1,0,0
-2.090883625,1,1,0,1,1,1,0,0
-2.090841958,1,1,0,1,0,1,0,0
-2.090800292,1,1,0,1,1,1,0,0
-2.090758583,1,1,0,1,0,1,0,0
-2.090716917,1,1,0,1,1,1,0,0
-2.090675208,1,1,0,1,0,1,0,0
-2.090633542,1,1,0,1,1,1,0,0
-2.090591875,1,1,0,1,0,1,0,0
-2.090550167,1,1,0,1,1,1,0,0
-2.090508500,1,1,0,1,0,1,0,0
-2.090466833,1,1,0,1,1,1,0,0
-2.090425125,1,1,0,1,0,1,0,0
-2.090383458,1,1,0,1,1,1,0,0
-2.090341750,1,1,0,1,0,1,0,0
-2.090300083,1,1,0,1,1,1,0,0
-2.090258417,1,1,0,1,0,1,0,0
-2.090216708,1,1,0,1,1,1,0,0
-2.090175042,1,1,0,1,0,1,0,0
-2.090133333,1,1,0,1,1,1,0,0
-2.090091667,1,1,0,1,0,1,0,0
-2.090050000,1,1,0,1,1,1,0,0
-2.090008292,1,1,0,1,0,1,0,0
-2.089966625,1,1,0,1,1,1,0,0
-2.089924958,1,1,0,1,0,1,0,0
-2.089883250,1,1,0,1,1,1,0,0
-2.089841583,1,1,0,1,0,1,0,0
-2.089799875,1,1,0,1,1,1,0,0
-2.089758208,1,1,0,1,0,1,0,0
